docId,filename,0 democracy world man,1 army bombay province,2 hindu art culture,3 india indian ee
0,item-yi-1918-05-005.jpg-ocr.txt,0.0014942448003862547,0.5438236234761268,0.0011601918341234377,0.4535219398893636
1,item-yi-1918-01-008.jpg-ocr.txt,0.09869725621245008,0.04272227976333333,0.012712055602306673,0.84586840842191
2,item-yi-1918-03-003.jpg-ocr.txt,0.01798226494054002,0.01976127381948177,0.0036377292621551597,0.958618731977823
3,item-yi-1918-06-004.jpg-ocr.txt,0.023383338958362587,0.15815572627340718,0.009051575149520574,0.8094093596187097
4,item-yi-1918-04-006.jpg-ocr.txt,0.490157214449481,0.002658966871523236,0.002472129454414959,0.5047116892245809
5,item-yi-1918-02-009.jpg-ocr.txt,0.009658701412936427,0.024447332925159514,0.7351073419864437,0.23078662367546043
6,item-yi-1918-01-001.jpg-ocr.txt,0.012855898761674448,0.04744815598170956,0.009981837487242236,0.9297141077693739
7,item-yi-1918-06-001.jpg-ocr.txt,0.14935197425664345,0.03249665552246245,0.013759352575843433,0.8043920176450506
8,item-yi-1918-05-009.jpg-ocr.txt,0.0072885472624481425,0.19786491396873016,0.0022023162432147692,0.792644222525607
9,.DS_Store,0.06826925067480173,0.061803796642468455,0.05300699532911658,0.8169199573536132
10,item-yi-1918-03-006.jpg-ocr.txt,0.0657683559590798,0.004650091241670914,0.02006364478114473,0.9095179080181046
11,item-yi-1918-01-004.jpg-ocr.txt,0.03407973143819062,0.0035282269618028455,0.028290313254260367,0.9341017283457462
12,item-yi-1918-04-003.jpg-ocr.txt,0.05198772737777962,0.05683569882806686,0.029837662251569655,0.8613389115425839
13,item-yi-1918-06-008.jpg-ocr.txt,0.7827894639983057,0.007624835774168423,0.011845783464776478,0.19773991676274935
14,item-yi-1918-02-005.jpg-ocr.txt,0.016215442909395257,0.0017417981089233095,0.4606060956511081,0.5214366633305734
15,item-yi-1918-04-009.jpg-ocr.txt,0.030996086065705596,0.06819857550575668,0.15427386816714336,0.7465314702613944
16,item-yi-1918-02-006.jpg-ocr.txt,0.2817134951551954,0.010449925786104037,0.15012214263119827,0.5577144364275024
17,item-yi-1918-05-003.jpg-ocr.txt,0.005400395567530054,0.18248402272171949,0.06465038601545259,0.7474651956952979
18,item-yi-1918-01-007.jpg-ocr.txt,0.02851667285087628,0.06913209623286395,0.028089593016538815,0.874261637899721
19,item-yi-1918-03-005.jpg-ocr.txt,0.005965798688014606,0.12209760945279449,0.0035601470912567765,0.8683764447679342
20,item-yi-1918-06-002.jpg-ocr.txt,0.27620133955671017,0.041065000556564306,0.04666671567773215,0.6360669442089933
21,item-yi-1918-01-002.jpg-ocr.txt,0.047175801134305036,0.06485356575028227,0.2816539788275766,0.6063166542878361
22,item-yi-1918-04-005.jpg-ocr.txt,0.0020962750097656916,0.5352040890318981,0.0016276323315821506,0.4610720036267542
23,item-yi-1918-06-007.jpg-ocr.txt,0.7720832689757513,0.003292923985109312,0.01806714241023369,0.20655666462890573
24,item-yi-1918-02-003.jpg-ocr.txt,0.291073575748565,0.0018300688809172534,0.012831355791969656,0.6942649995785481
25,item-yi-1918-05-006.jpg-ocr.txt,0.06269218868155267,0.1890079528194905,0.06364267121661496,0.6846571872823419
26,item-yi-1918-03-009.jpg-ocr.txt,0.07958013976062704,0.002212045977039584,0.11533349881304057,0.8028743154492928
27,item-yi-1918-02-004.jpg-ocr.txt,0.05359909106158337,0.07074034987727285,0.01232547062820296,0.8633350884329409
28,item-yi-1918-06-009.jpg-ocr.txt,0.7692527575293477,0.007081283149670413,0.016397999479162643,0.20726795984181923
29,item-yi-1918-05-001.jpg-ocr.txt,0.02163725013284238,0.01958808971673685,0.01680003230429238,0.9419746278461284
30,item-yi-1918-01-005.jpg-ocr.txt,0.028255226444152737,0.22503972714186737,0.024752785970510612,0.7219522604434693
31,item-yi-1918-04-002.jpg-ocr.txt,0.005709600920513877,0.17586376379797367,0.013294550527761713,0.8051320847537508
32,item-yi-1918-03-007.jpg-ocr.txt,0.025773700426015515,0.03202274011293039,0.052641073652744085,0.8895624858083101
33,item-yi-1918-05-008.jpg-ocr.txt,0.02652308031486876,0.47365761611992147,0.002022788031682819,0.49779651553352705
34,item-yi-1918-02-008.jpg-ocr.txt,0.003866685834944564,0.011278320488603683,0.7474920548064575,0.23736293886999427
35,item-yi-1918-04-007.jpg-ocr.txt,0.6578051764091816,0.001341564359265673,0.0011506137096509701,0.3397026455219018
36,item-yi-1918-03-002.jpg-ocr.txt,0.03741608961313107,0.046394455340450017,0.06145512165316989,0.854734333393249
37,item-yi-1918-06-005.jpg-ocr.txt,0.011252836228652134,0.37752030753710436,0.016490156272156668,0.5947366999620869
38,item-yi-1918-02-001.jpg-ocr.txt,0.023024964954437895,0.020844380708418778,0.01787750997307262,0.9382531443640707
39,item-yi-1918-01-009.jpg-ocr.txt,0.08689877720949975,0.08162125821511479,0.004825372972704741,0.8266545916026808
40,item-yi-1918-05-004.jpg-ocr.txt,0.0028696941986974594,0.4061685054816061,0.0053003117314652775,0.5856614885882313
41,item-yi-1918-03-008.jpg-ocr.txt,0.08363841683634517,0.0016616507463335164,0.5842710636248915,0.33042886879242994
42,item-yi-1918-05-007.jpg-ocr.txt,0.21641611101480335,0.19530637633158568,0.041737336221605185,0.5465401764320059
43,item-yi-1918-02-002.jpg-ocr.txt,0.1359247719954846,0.06223060934703239,0.13137606772887145,0.6704685509286116
44,item-yi-1918-06-006.jpg-ocr.txt,0.09391388133445754,0.11533694816069245,0.16206912762141334,0.6286800428834367
45,item-yi-1918-01-003.jpg-ocr.txt,0.25354315347149003,0.06559284214773473,0.008869453676501987,0.6719945507042732
46,item-yi-1918-04-004.jpg-ocr.txt,0.05145963091606407,0.006184139999201812,0.2035487294980039,0.7388074995867303
47,item-yi-1918-03-004.jpg-ocr.txt,0.030063083891300958,0.22621624095004542,0.010913426212195973,0.7328072489464578
48,item-yi-1918-06-003.jpg-ocr.txt,0.05089637566487704,0.14063348761578667,0.04928030879243968,0.7591898279268966
49,item-yi-1918-04-001.jpg-ocr.txt,0.029346328586492016,0.04203425911255404,0.011815282225842199,0.916804130075112
50,item-yi-1918-01-006.jpg-ocr.txt,0.2442171776312124,0.0019666477964085,0.06018088481183332,0.6936352897605458
51,item-yi-1918-05-002.jpg-ocr.txt,0.01174942173245141,0.0055155494696342965,0.0217011268569006,0.9610339019410138
52,item-yi-1918-02-007.jpg-ocr.txt,0.017662239926620735,0.005813331811346982,0.4955368976847373,0.48098753057729504
53,item-yi-1918-04-008.jpg-ocr.txt,0.055313743254051466,0.041058040725817486,0.01006224950078187,0.8935659665193493
